session_start,session_end,total_score,sandwich,egg fried,chicken fried,lamb fried,chicken drumpstick fried
2025-04-02 00:16:10,2025-04-02 00:16:59,151,0,1,1,1,0
2025-04-02 00:21:05,2025-04-02 00:21:56,126,1,0,1,1,0
2025-04-02 00:23:23,2025-04-02 00:23:58,97,1,0,0,1,0
2025-04-02 00:31:59,2025-04-02 00:32:36,95,0,1,1,0,0
2025-04-02 00:34:09,2025-04-02 00:34:54,101,0,0,1,1,0
2025-04-02 20:50:40,2025-04-02 20:51:33,155,1,1,0,1,0
2025-04-02 20:58:43,2025-04-02 20:59:31,86,0,1,1,0,0
2025-04-02 21:44:34,2025-04-02 21:45:35,145,1,1,0,1,0
2025-04-04 09:10:21,2025-04-04 09:11:48,85,0,1,0,1,0
2025-04-04 13:24:23,2025-04-04 13:25:22,98,0,1,1,1,0
2025-04-05 20:01:16,2025-04-05 20:02:19,152,1,1,0,1,0
2025-04-06 11:26:14,2025-04-06 11:27:19,73,1,0,1,0,0
2025-04-06 12:58:38,2025-04-06 12:59:57,116,0,1,1,1,0
2025-04-07 12:41:03,2025-04-07 12:41:58,59,0,1,0,0,0
2025-04-07 12:42:02,2025-04-07 12:42:57,65,0,1,0,0,0
2025-04-07 12:46:03,2025-04-07 12:47:14,75,1,0,0,0,1
2025-04-09 09:34:16,2025-04-09 09:37:43,170,2,3,1,0,1
2025-04-09 09:46:08,2025-04-09 09:47:33,224,0,1,2,2,0
2025-04-09 10:05:31,2025-04-09 10:06:44,2,0,0,0,1,0
2025-04-09 10:20:58,2025-04-09 10:22:58,3,0,0,0,1,0
2025-04-09 10:22:58,2025-04-09 10:27:08,138,1,2,0,2,0
2025-04-09 10:31:18,2025-04-09 10:32:04,38,0,0,0,0,1
2025-04-09 18:46:19,2025-04-09 18:47:56,133,1,1,1,1,0
2025-04-10 15:46:26,2025-04-10 15:48:03,65,0,1,0,1,1
2025-04-13 13:49:00,2025-04-13 13:50:27,128,1,1,0,1,0
2025-04-13 15:20:09,2025-04-13 15:20:32,0,0,0,0,0,0
2025-04-13 15:30:57,2025-04-13 15:31:26,48,0,0,0,0,1
2025-04-16 14:34:12,2025-04-16 14:35:50,118,1,1,0,0,1
2025-04-19 20:32:33,2025-04-19 20:36:04,88,0,1,2,0,0
2025-04-20 16:18:57,2025-04-20 16:18:58,0,0,0,0,0,0
2025-04-20 16:32:13,2025-04-20 16:32:18,0,0,0,0,0,0
2025-04-20 16:46:03,2025-04-20 16:46:47,81,0,1,1,0,0
2025-04-20 22:29:50,2025-04-20 22:30:56,7,1,0,0,0,0
2025-04-21 19:29:33,2025-04-21 19:33:33,348,2,1,5,1,1
